Yodlee Db stats:


state:    users:
-----------------------------------------
TX        10138
CA        9810
NY        7412
FL        7199
PA        6406
GA        4549
IL        4298
OH        4202
NC        4183
VA        4138
MD        3789
NJ        2810
MI        2082
AZ        1995
IN        1953
KY        1899
WA        1821
CO        1725
TN        1613
SC        1514
MA        1480
MO        1345
AL        1308
DC        1048
NV        920
OK        799
CT        782
OR        741
KS        725
DE        723
LA        687
NM        605
WI        495
AR        449
HI        427
AK        426
MS        383
MN        369
UT        354
WV        291
NE        280
RI        262
NH        246
ID        244
IA        217
MT        192
ND        173
ME        171
WY        127
SD        111
VT        61
PR        10
GU        1
